Date,Close,High,Low,Open,Volume
2024-01-01,3549.363525390625,3568.828076087877,3513.880044644979,3529.7125282810684,825907
2024-01-02,3523.378662109375,3549.3626920473966,3508.524116130841,3549.3626920473966,1344068
2024-01-03,3438.209228515625,3512.8082384612394,3433.8320590180388,3508.291234189303,1803075
2024-01-04,3414.973388671875,3463.5883776999503,3400.2584476962943,3447.5230645740226,3598144
2024-01-05,3481.1904296875,3490.364047651674,3422.4707254669115,3422.6103328983795,1963127
2024-01-08,3425.683349609375,3482.9130676229634,3420.188410832366,3481.190030173045,1067805
2024-01-09,3436.487060546875,3494.6483369499874,3429.8281951199665,3455.160123552573,1370944
2024-01-10,3458.046630859375,3473.1340080380555,3434.7169596150297,3436.579604387055,1292227
2024-01-11,3479.001953125,3513.8799367066313,3452.412649184066,3468.2451323338178,1777909
2024-01-12,3616.138671875,3637.0468143478074,3559.141786285624,3583.728606775587,6813450
2024-01-15,3635.697021484375,3692.693916153037,3618.188112044023,3688.037303396224,2801505
2024-01-16,3596.115234375,3631.2260434367095,3590.7601305663925,3631.2260434367095,1432672
2024-01-17,3617.8154296875,3641.4243183462013,3550.713598917996,3556.7205834939423,3458696
2024-01-18,3634.5791015625,3640.3532553051646,3596.7673189636566,3630.2949273227173,2239110
2024-01-19,3697.834228515625,3717.0593463167797,3671.5755310311206,3699.6629134417612,2941975
2024-01-23,3618.30810546875,3689.253392795468,3603.772039730458,3657.4617018928593,2618854
2024-01-24,3602.881103515625,3642.12834296067,3568.932402810829,3638.70542557381,2657709
2024-01-25,3573.34033203125,3620.887291071968,3543.7054208683003,3601.0993927441014,2205154
2024-01-29,3564.618408203125,3582.436811190723,3545.7216145125103,3564.430891857951,1646747
2024-01-30,3564.196533203125,3608.5080891700763,3551.4891523141855,3570.6673355072853,1411621
2024-01-31,3578.638671875,3595.566200692752,3560.351363342525,3574.184071078628,2459358
2024-02-01,3614.462646484375,3662.0565346197413,3568.4162832196353,3582.436505952707,2363107
2024-02-02,3719.638671875,3736.612908383376,3631.2030759637855,3634.063444426215,2826510
2024-02-05,3726.203857421875,3771.875199551302,3715.7004218024367,3735.300576780914,1691523
2024-02-06,3878.784912109375,3891.8203887754125,3741.8645549604466,3748.429229618272,4474396
2024-02-07,3829.4560546875,3896.603391231385,3820.593789517031,3894.7277698637645,2124267
2024-02-08,3877.00341796875,3899.417002760364,3831.9415667460817,3835.6458733260915,2345173
2024-02-09,3876.628173828125,3924.503225662895,3845.0237708866407,3879.300567921934,2100596
2024-02-12,3864.436279296875,3900.917019645153,3850.228082533769,3873.157734613045,1013716
2024-02-13,3891.445068359375,3910.6701855786464,3827.6739478271575,3868.890906690215,1257415
2024-02-14,3845.11767578125,3858.997090733716,3797.6643636034514,3851.5884779156377,1391283
2024-02-15,3848.02490234375,3888.444175657724,3829.0809437517446,3871.282423660838,1091582
2024-02-16,3871.5634765625,3889.991821945157,3845.117491300484,3857.4496096162657,1307556
2024-02-19,3848.58740234375,3871.5637647018066,3802.8224229354896,3866.640258482223,772291
2024-02-20,3779.986328125,3843.1479657037125,3760.620630178596,3828.236868254403,1193648
2024-02-21,3743.271484375,3810.6532761089843,3733.04943912238,3763.434414830734,1885939
2024-02-22,3832.92626953125,3840.287946278356,3724.0463538039667,3724.0463538039667,2982052
2024-02-23,3800.102783203125,3873.1581442686033,3794.7570791114713,3873.1581442686033,2538072
2024-02-26,3752.2275390625,3798.1333269385277,3735.065557497388,3785.0039771663946,1379284
2024-02-27,3849.150390625,3867.531573098657,3750.305228133252,3750.305228133252,2960475
2024-02-28,3862.795654296875,3896.509674983892,3834.7080400231876,3840.8976823678586,1939225
2024-02-29,3840.428466796875,3880.7543245620564,3811.778305779147,3844.0858367320416,3772719
2024-03-01,3839.725341796875,3882.5363087877504,3832.6448252006635,3851.776300908435,2043265
2024-03-04,3826.924072265625,3861.8105844645606,3822.4225351204777,3849.712918034811,1749271
2024-03-05,3762.590087890625,3811.262367586528,3732.4862753431057,3809.386746342637,2070859
2024-03-06,3811.5439453125,3818.765041667535,3712.2765944807757,3745.662745858388,1744204
2024-03-07,3853.08935546875,3867.5315494972733,3786.598435635506,3812.2007150112554,2688905
2024-03-11,3865.98388671875,3894.7276920199565,3834.707809455719,3834.707809455719,2304068
2024-03-12,3931.537109375,3966.8927577504023,3864.764800933032,3865.984229655007,4039801
2024-03-13,3890.9765625,3977.255146194866,3874.9399080779876,3943.493961270788,2837260
2024-03-14,3945.931884765625,3962.249697261222,3831.894026747776,3895.1495334831993,2919608
2024-03-15,3956.85791015625,3975.3796720157243,3917.2354069378816,3931.8653458631275,3373143
2024-03-18,3894.259033203125,3990.1501797762785,3861.7639831846413,3953.106656161222,1526904
2024-03-19,3729.954345703125,3805.6356194004047,3719.919817535177,3799.3053975100765,8931209
2024-03-20,3723.9521484375,3768.123120804515,3713.9176204628307,3738.113180569138,1817913
2024-03-21,3725.875,3759.120343748554,3702.476668668117,3741.9116546616547,3829582
2024-03-22,3667.683837890625,3693.098599879169,3615.260310445454,3654.6483605203457,5852485
2024-03-26,3636.361083984375,3701.257540323518,3630.6872833100233,3634.0165571732955,3440925
2024-03-27,3602.036865234375,3652.7725134223638,3591.2520426658625,3646.6767441445086,1968575
2024-03-28,3635.23583984375,3671.529069915745,3601.6621693515754,3610.6652440946027,4311783
2024-04-01,3673.170166015625,3688.690979343402,3646.2550439346555,3655.3048258696854,1569676
2024-04-02,3642.26904296875,3666.6990561572848,3632.140642171932,3648.083423198765,2142666
2024-04-03,3701.8203125,3733.424488071944,3611.509094088183,3611.509094088183,3973090
2024-04-04,3754.33740234375,3778.1107648289094,3690.519342135764,3728.6412532863997,3394637
2024-04-05,3731.78271484375,3753.1179053350975,3714.1987666365953,3730.6104516299397,1636819
2024-04-08,3725.500244140625,3781.862534405873,3713.7306731098083,3735.300320958678,2302538
2024-04-09,3701.11669921875,3766.1070236289547,3680.953770065772,3736.237662579727,1876992
2024-04-10,3736.847412109375,3742.052307422326,3674.3424188992844,3710.3542591400274,2101965
2024-04-12,3752.555419921875,3763.762440285618,3700.131896496917,3724.0460679227617,4354821
2024-04-15,3696.099609375,3811.4503293550783,3675.32719325435,3752.5557696224905,4200329
2024-04-16,3631.953369140625,3684.37689632826,3622.622198353119,3659.33739612377,3051420
2024-04-18,3621.824951171875,3691.2229435040135,3610.571222685582,3635.704595429841,3476284
2024-04-19,3588.251220703125,3612.9626239981167,3564.5245644253832,3599.3174326502835,2957749
2024-04-22,3624.26318359375,3636.829754907987,3574.9342510854167,3598.3795176848753,1728883
2024-04-23,3633.735595703125,3652.77320144056,3620.512600307461,3635.939542747931,1807586
2024-04-24,3592.7998046875,3655.586186600659,3586.6101623523527,3648.0837008405756,1317312
2024-04-25,3612.634033203125,3632.7500252586483,3573.996281358353,3574.1837976912666,2856271
2024-04-26,3583.703369140625,3635.7049318750132,3566.072480422347,3615.4011908108196,2039178
2024-04-29,3629.51513671875,3636.6425900369045,3581.686788233394,3599.3176762116937,1110693
